id;nombre_curso;descripcion;fecha_inicio;fecha_fin;cantidad_clases;nivel
1;Cheese;Awesome;2023-06-01;2023-06-01;15771;PREAJEDREZ
2;teal Rhode reboot;EXE;2023-05-31;2023-06-01;3938;INICIAL
3;success;hybrid Shoes;2023-05-31;2023-05-31;65697;TODOS
4;channels reserved;Tuna JSON PCI;2023-06-01;2023-05-31;35142;INICIAL
5;circuit transparent;Forward withdrawal;2023-05-31;2023-05-31;99468;INICIAL
6;Awesome neural;tolerance Consultant;2023-06-01;2023-05-31;20836;PREAJEDREZ
7;Infrastructure Gloves;fault-tolerant mindshare Shoes;2023-05-31;2023-06-01;36086;INICIAL
8;Account;Chips optimal wireless;2023-06-01;2023-05-31;14881;PRINCIPIANTE
9;Product Frozen;Oklahoma override;2023-06-01;2023-06-01;19935;INICIAL
10;reboot;protocol;2023-05-31;2023-05-31;77780;AVANZADO
